,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
53,Jakobi Meyers,NWE,24,wr,14,9,81,59,72.8%,729,12.4,0,37,35,9.0,4.2,52.1,1
54,Mark Andrews,BAL,25,te,14,2,88,58,65.9%,701,12.1,7,37,39,8.0,4.1,50.1,2
55,Marquise Brown ,BAL,23,WR,16,14,100,58,58.0%,769,13.3,8,35,70,7.7,3.6,48.1,0
56,Laviska Shenault Jr.,JAX,22,WR,14,12,79,58,73.4%,600,10.3,5,33,36,7.6,4.1,42.9,0
57,Eric Ebron,PIT,27,te,15,9,91,56,61.5%,558,10.0,5,30,27,6.1,3.7,37.2,1
58,T.Y. Hilton,IND,31,WR,15,15,93,56,60.2%,762,13.6,5,42,50,8.2,3.7,50.8,0
59,Hayden Hurst,ATL,27,te,16,9,88,56,63.6%,571,10.2,6,35,42,6.5,3.5,35.7,0
60,,,,,,,,,,,,,,,,,,
61,Hunter Renfrow,LVR,25,wr,16,6,77,56,72.7%,656,11.7,2,32,53,8.5,3.5,41.0,2
62,Keelan Cole,JAX,27,wr,16,5,88,55,62.5%,642,11.7,5,34,51,7.3,3.4,40.1,0
63,Austin Ekeler,LAC,25,rb,10,10,65,54,83.1%,403,7.5,2,20,28,6.2,5.4,40.3,1
64,Larry Fitzgerald,ARI,37,WR,13,13,72,54,75.0%,409,7.6,1,25,18,5.7,4.2,31.5,0
65,David Montgomery,CHI,23,RB,15,14,68,54,79.4%,438,8.1,2,25,28,6.4,3.6,29.2,1
66,DJ Chark,JAX,24,WR,13,12,93,53,57.0%,706,13.3,5,37,73,7.6,4.1,54.3,0
67,Chase Edmonds,ARI,24,rb,16,2,67,53,79.1%,402,7.6,4,21,30,6.0,3.3,25.1,2
68,Will Fuller,HOU,26,WR,11,11,75,53,70.7%,879,16.6,8,38,77,11.7,4.8,79.9,0
69,Mike Gesicki,MIA,25,te,15,9,85,53,62.4%,703,13.3,6,36,70,8.3,3.5,46.9,0
70,Greg Ward,PHI,25,wr,16,10,79,53,67.1%,419,7.9,6,24,32,5.3,3.3,26.2,2
71,Ezekiel Elliott,DAL,25,RB,15,15,71,52,73.2%,338,6.5,2,20,19,4.8,3.5,22.5,6
72,Jerry Jeudy ,DEN,21,WR,16,14,113,52,46.0%,856,16.5,3,39,92,7.6,3.3,53.5,2
73,Josh Reynolds,LAR,25,WR,16,13,81,52,64.2%,618,11.9,2,29,40,7.6,3.3,38.6,2
74,Robert Tonyan ,GNB,26,te,16,8,59,52,88.1%,586,11.3,11,33,45,9.9,3.3,36.6,0
75,Julio Jones ,ATL,31,wr,9,9,68,51,75.0%,771,15.1,3,36,44,11.3,5.7,85.7,0
76,Tim Patrick,DEN,27,WR,15,15,79,51,64.6%,742,14.5,6,33,61,9.4,3.4,49.5,0
77,Jimmy Graham,CHI,34,TE,16,15,76,50,65.8%,456,9.1,8,32,30,6.0,3.1,28.5,1
78,Darius Slayton,NYG,23,WR,16,15,96,50,52.1%,751,15.0,3,38,41,7.8,3.1,46.9,1
79,Kendrick Bourne,SFO,25,wr,15,5,74,49,66.2%,667,13.6,2,35,49,9.0,3.3,44.5,0
80,Anthony Miller,CHI,26,wr,16,6,76,49,64.5%,485,9.9,2,23,34,6.4,3.1,30.3,2
81,James Robinson,JAX,22,RB,14,14,60,49,81.7%,344,7.0,3,15,28,5.7,3.5,24.6,3
82,James White ,NWE,28,,14,0,62,49,79.0%,375,7.7,1,20,34,6.0,3.5,26.8,1
83,Nelson Agholor,LVR,27,WR,16,13,82,48,58.5%,896,18.7,8,37,85,10.9,3.0,56.0,0
84,Christian Kirk,ARI,24,wr,14,10,79,48,60.8%,621,12.9,6,30,80,7.9,3.4,44.4,1
85,George Kittle,SFO,27,te,8,8,63,48,76.2%,634,13.2,2,32,44,10.1,6.0,79.3,0
86,Mike Williams ,LAC,26,WR,15,11,85,48,56.5%,756,15.8,5,35,64,8.9,3.2,50.4,0
87,Giovani Bernard,CIN,29,rb,16,10,59,47,79.7%,355,7.6,3,15,42,6.0,2.9,22.2,1
88,Damiere Byrd ,NWE,27,WR,16,14,77,47,61.0%,604,12.9,1,29,42,7.8,2.9,37.8,3
89,A.J. Green,CIN,32,WR,16,14,104,47,45.2%,523,11.1,2,34,33,5.0,2.9,32.7,0
90,Aaron Jones*,GNB,26,RB,14,14,63,47,74.6%,355,7.6,2,15,30,5.6,3.4,25.4,2
91,,,,,,,,,,,,,,,,,,
92,Danny Amendola,DET,35,wr,14,5,69,46,66.7%,602,13.1,0,30,50,8.7,3.3,43.0,0
93,Dallas Goedert,PHI,25,te,11,9,65,46,70.8%,524,11.4,3,28,41,8.1,4.2,47.6,0
94,Austin Hooper,CLE,26,TE,13,13,70,46,65.7%,435,9.5,4,27,36,6.2,3.5,33.5,0
95,D'Andre Swift ,DET,21,rb,13,4,57,46,80.7%,357,7.8,2,15,26,6.3,3.5,27.5,3
96,Antonio Brown ,TAM,32,wr,8,4,62,45,72.6%,483,10.7,4,27,46,7.8,5.6,60.4,0
97,Rob Gronkowski ,TAM,31,TE,16,16,77,45,58.4%,623,13.8,7,29,48,8.1,2.8,38.9,1
98,Demarcus Robinson,KAN,26,wr,16,9,59,45,76.3%,466,10.4,3,26,28,7.9,2.8,29.1,2
99,Dalvin Cook*,MIN,25,RB,14,14,54,44,81.5%,361,8.2,1,17,50,6.7,3.1,25.8,5
100,Tyler Higbee,LAR,27,TE,15,15,60,44,73.3%,521,11.8,5,26,44,8.7,2.9,34.7,0
101,Zach Pascal,IND,26,WR,16,14,71,44,62.0%,629,14.3,5,29,42,8.9,2.8,39.3,0
102,Gerald Everett,LAR,26,te,16,7,62,41,66.1%,417,10.2,1,24,40,6.7,2.6,26.1,1
103,Myles Gaskin,MIA,23,rb,10,7,47,41,87.2%,388,9.5,2,12,59,8.3,4.1,38.8,2
104,Mecole Hardman,KAN,22,wr,16,8,62,41,66.1%,560,13.7,4,23,49,9.0,2.6,35.0,2
105,Jonnu Smith,TEN,25,TE,15,14,65,41,63.1%,448,10.9,8,25,63,6.9,2.7,29.9,0
106,Chris Conley,JAX,28,wr,15,4,63,40,63.5%,471,11.8,2,24,51,7.5,2.7,31.4,1
107,Michael Pittman Jr.,IND,23,wr,13,8,61,40,65.6%,503,12.6,1,22,45,8.2,3.1,38.7,0
108,Drew Sample,CIN,24,TE,16,13,53,40,75.5%,349,8.7,1,16,23,6.6,2.5,21.8,1
109,Michael Thomas,NOR,27,wr,7,5,55,40,72.7%,438,11.0,0,25,24,8.0,5.7,62.6,0
110,Anthony Firkser,TEN,25,te,16,1,53,39,73.6%,387,9.9,1,26,45,7.3,2.4,24.2,0
111,Randall Cobb,HOU,30,wr,10,2,48,38,79.2%,441,11.6,3,20,34,9.2,3.8,44.1,0
112,Travis Fulgham,PHI,25,wr,13,8,67,38,56.7%,539,14.2,4,26,42,8.0,2.9,41.5,0
113,Kareem Hunt,CLE,25,rb,16,5,51,38,74.5%,304,8.0,5,19,26,6.0,2.4,19.0,2
114,Devin Singletary,BUF,23,RB,16,16,50,38,76.0%,269,7.1,0,8,34,5.4,2.4,16.8,1
115,Jordan Akins,HOU,28,te,13,5,49,37,75.5%,403,10.9,1,20,26,8.2,2.8,31.0,0
116,Braxton Berrios,NYJ,25,wr,16,2,55,37,67.3%,394,10.6,3,19,43,7.2,2.3,24.6,0
117,Chris Carson,SEA,26,RB,12,12,46,37,80.4%,287,7.8,4,14,29,6.2,3.1,23.9,1
118,Jared Cook,NOR,33,te,15,5,60,37,61.7%,504,13.6,7,27,46,8.4,2.5,33.6,1
119,Rashard Higgins,CLE,26,wr,13,6,52,37,71.2%,599,16.2,4,26,43,11.5,2.8,46.1,3
120,Sammy Watkins,KAN,27,wr,10,9,55,37,67.3%,421,11.4,2,27,37,7.7,3.7,42.1,1
121,Clyde Edwards-Helaire ,KAN,21,RB,13,13,54,36,66.7%,297,8.3,1,12,26,5.5,2.8,22.8,0
122,,,,,,,,,,,,,,,,,,
123,Tyler Eifert,JAX,30,te,15,4,60,36,60.0%,349,9.7,2,22,28,5.8,2.4,23.3,0
124,Zach Ertz,PHI,30,TE,11,11,72,36,50.0%,335,9.3,1,16,42,4.7,3.3,30.5,0
125,Leonard Fournette ,TAM,25,rb,13,3,47,36,76.6%,233,6.5,0,9,20,5.0,2.8,17.9,0
126,Antonio Gibson ,WAS,22,rb,14,10,44,36,81.8%,247,6.9,0,9,40,5.6,2.6,17.6,2
127,Jakeem Grant,MIA,28,wr,14,4,54,36,66.7%,373,10.4,1,22,30,6.9,2.6,26.6,2
128,Jonathan Taylor,IND,21,RB,15,13,39,36,92.3%,299,8.3,1,12,39,7.7,2.4,19.9,1
129,James Conner,PIT,25,RB,13,11,43,35,81.4%,215,6.1,0,10,18,5.0,2.7,16.5,2
130,Gabriel Davis,BUF,21,WR,16,11,62,35,56.5%,599,17.1,7,27,56,9.7,2.2,37.4,1
131,David Moore,SEA,25,wr,16,6,47,35,74.5%,417,11.9,6,18,57,8.9,2.2,26.1,1
132,Golden Tate,NYG,32,wr,12,4,52,35,67.3%,388,11.1,2,17,39,7.5,2.9,32.3,0
133,Tre'Quan Smith,NOR,24,wr,14,10,50,34,68.0%,448,13.2,4,22,31,9.0,2.4,32.0,1
134,John Brown,BUF,30,wr,9,8,52,33,63.5%,458,13.9,3,22,46,8.8,3.7,50.9,0
135,Keke Coutee,HOU,23,wr,8,4,40,33,82.5%,400,12.1,3,19,64,10.0,4.1,50.0,4
136,N'Keal Harry ,NWE,23,wr,14,9,57,33,57.9%,309,9.4,2,15,30,5.4,2.4,22.1,1
137,Josh Jacobs*,LVR,22,RB,15,15,45,33,73.3%,238,7.2,0,9,29,5.3,2.2,15.9,2
138,David Johnson,HOU,29,RB,12,12,46,33,71.7%,314,9.5,2,16,32,6.8,2.8,26.2,2
139,Allen Lazard,GNB,25,wr,10,9,46,33,71.7%,451,13.7,3,23,72,9.8,3.3,45.1,0
140,Jerick McKinnon ,SFO,28,rb,16,4,46,33,71.7%,253,7.7,1,12,26,5.5,2.1,15.8,0
141,Scott Miller ,TAM,23,wr,16,5,53,33,62.3%,501,15.2,3,20,48,9.5,2.1,31.3,0
142,Deebo Samuel,SFO,24,wr,7,5,44,33,75.0%,391,11.8,1,19,35,8.9,4.7,55.9,0
143,Willie Snead ,BAL,28,wr,13,8,48,33,68.8%,432,13.1,3,23,34,9.0,2.5,33.2,1
144,Marquez Valdes-Scantling ,GNB,26,WR,16,12,63,33,52.4%,690,20.9,6,27,78,11.0,2.1,43.1,1
145,Melvin Gordon,DEN,27,rb,15,10,44,32,72.7%,158,4.9,1,7,20,3.6,2.1,10.5,4
146,Cam Sims,WAS,24,wr,16,10,48,32,66.7%,477,14.9,1,18,50,9.9,2.0,29.8,0
147,Mo Alie-Cox,IND,27,te,15,6,39,31,79.5%,394,12.7,2,19,45,10.1,2.1,26.3,1
148,Dan Arnold,ARI,25,te,16,5,45,31,68.9%,438,14.1,4,24,59,9.7,1.9,27.4,2
149,Chris Herndon,NYJ,24,TE,16,13,45,31,68.9%,287,9.3,3,17,26,6.4,1.9,17.9,2
150,Jalen Reagor ,PHI,21,WR,11,11,54,31,57.4%,396,12.8,1,19,55,7.3,2.8,36.0,2
151,Jamaal Williams,GNB,25,rb,14,3,35,31,88.6%,236,7.6,1,11,29,6.7,2.2,16.9,0
152,KJ Hamler ,DEN,21,wr,13,4,56,30,53.6%,381,12.7,3,17,49,6.8,2.3,29.3,2
153,,,,,,,,,,,,,,,,,,
154,Isaiah McKenzie,BUF,25,wr,16,7,34,30,88.2%,282,9.4,5,17,46,8.3,1.9,17.6,0
155,Breshad Perriman,NYJ,27,WR,12,12,60,30,50.0%,505,16.8,3,20,53,8.4,2.5,42.1,0
156,Irv Smith Jr.,MIN,22,te,13,7,43,30,69.8%,365,12.2,5,22,36,8.5,2.3,28.1,0
157,James Washington,PIT,24,wr,16,7,56,30,53.6%,392,13.1,5,19,50,7.0,1.9,24.5,0
158,Kalen Ballage,2TM,25,,11,2,37,29,78.4%,166,5.7,0,5,21,4.5,2.6,15.1,1
159,Lynn Bowden Jr.,MIA,23,rb,10,4,37,28,75.7%,211,7.5,0,13,22,5.7,2.8,21.1,0
160,Cameron Brate,TAM,29,te,16,1,34,28,82.4%,282,10.1,2,17,25,8.3,1.8,17.6,0
161,Trey Burton,IND,29,te,13,4,47,28,59.6%,250,8.9,3,14,20,5.3,2.2,19.2,0
162,Isaiah Ford,MIA,24,wr,10,1,44,28,63.6%,276,9.9,0,18,18,6.3,2.8,27.6,0
163,Jalen Guyton,LAC,23,wr,16,9,55,28,50.9%,511,18.3,3,18,72,9.3,1.8,31.9,0
164,Duke Johnson,HOU,27,rb,11,5,35,28,80.0%,249,8.9,1,8,48,7.1,2.5,22.6,3
165,Ronald Jones II,TAM,23,RB,14,13,42,28,66.7%,165,5.9,1,2,37,3.9,2.0,11.8,2
166,Cole Kmet ,CHI,21,te,16,9,44,28,63.6%,243,8.7,2,12,38,5.5,1.8,15.2,1
167,James O'Shaughnessy,JAX,28,TE,15,13,38,28,73.7%,262,9.4,0,12,26,6.9,1.9,17.5,0
168,Tony Pollard,DAL,23,rb,16,2,40,28,70.0%,193,6.9,1,9,30,4.8,1.8,12.1,0
169,Kyle Rudolph ,MIN,31,TE,12,12,37,28,75.7%,334,11.9,1,16,25,9.0,2.3,27.8,1
170,Miles Sanders ,PHI,23,RB,12,11,52,28,53.8%,197,7.0,0,8,28,3.8,2.3,16.4,4
171,Steven Sims,WAS,23,wr,12,2,37,27,73.0%,265,9.8,1,13,30,7.2,2.3,22.1,5
172,Isaiah Wright,WAS,23,wr,14,6,35,27,77.1%,197,7.3,0,10,22,5.6,1.9,14.1,3
173,Jordan Reed,SFO,30,te,10,1,46,26,56.5%,231,8.9,4,16,26,5.0,2.6,23.1,0
174,Henry Ruggs III,LVR,21,WR,13,12,43,26,60.5%,452,17.4,2,13,72,10.5,2.0,34.8,2
175,Durham Smythe,MIA,25,TE,15,13,29,26,89.7%,208,8.0,2,13,19,7.2,1.7,13.9,0
176,Rex Burkhead ,NWE,30,,10,0,33,25,75.8%,192,7.7,3,11,24,5.8,2.5,19.2,0
177,Kenyan Drake,ARI,26,RB,15,13,31,25,80.6%,137,5.5,0,5,18,4.4,1.7,9.1,3
178,Todd Gurley,ATL,26,RB,15,15,35,25,71.4%,164,6.6,0,7,26,4.7,1.7,10.9,2
179,Brian Hill,ATL,25,rb,16,1,30,25,83.3%,199,8.0,0,7,26,6.6,1.6,12.4,2
180,Jacob Hollister,SEA,27,te,16,5,40,25,62.5%,209,8.4,3,14,20,5.2,1.6,13.1,0
181,Boston Scott,PHI,25,rb,16,4,36,25,69.4%,212,8.5,1,8,18,5.9,1.6,13.3,2
182,Harrison Bryant,CLE,22,te,15,9,38,24,63.2%,238,9.9,3,14,35,6.3,1.6,15.9,2
183,Will Dissly,SEA,24,TE,16,12,29,24,82.8%,251,10.5,2,12,28,8.7,1.5,15.7,0
184,,,,,,,,,,,,,,,,,,
185,Dawson Knox,BUF,24,te,12,7,44,24,54.5%,288,12.0,3,14,36,6.5,2.0,24.0,2
186,Greg Olsen,SEA,35,te,11,8,37,24,64.9%,239,10.0,1,16,22,6.5,2.2,21.7,0
187,Richard Rodgers ,PHI,28,te,14,4,31,24,77.4%,345,14.4,2,16,33,11.1,1.7,24.6,0
188,Odell Beckham Jr.,CLE,28,wr,7,7,43,23,53.5%,319,13.9,3,17,43,7.4,3.3,45.6,0
189,Malcolm Brown ,LAR,27,,16,0,33,23,69.7%,162,7.0,0,9,30,4.9,1.4,10.1,1
190,Jack Doyle,IND,30,TE,14,12,33,23,69.7%,251,10.9,3,13,28,7.6,1.6,17.9,1
191,DaeSean Hamilton,DEN,25,wr,16,2,44,23,52.3%,293,12.7,2,16,40,6.7,1.4,18.3,1
192,Adam Humphries,TEN,27,wr,7,1,35,23,65.7%,228,9.9,2,11,23,6.5,3.3,32.6,0
193,Richie James,SFO,25,wr,11,7,35,23,65.7%,394,17.1,1,15,47,11.3,2.1,35.8,2
194,Joshua Kelley,LAC,23,,14,0,23,23,100.0%,148,6.4,0,9,35,6.4,1.6,10.6,2
195,Denzel Mims ,NYJ,23,wr,9,8,44,23,52.3%,357,15.5,0,15,30,8.1,2.6,39.7,0
196,Latavius Murray,NOR,30,rb,15,7,26,23,88.5%,176,7.7,1,8,25,6.8,1.5,11.7,1
197,Marquez Callaway,NOR,22,wr,11,3,27,21,77.8%,213,10.1,0,10,27,7.9,1.9,19.4,0
198,Julian Edelman,NWE,34,wr,6,1,39,21,53.8%,315,15.0,0,18,49,8.1,3.5,52.5,0
199,Darren Fells,HOU,34,TE,16,14,28,21,75.0%,312,14.9,4,16,44,11.1,1.3,19.5,0
200,Wayne Gallman,NYG,26,rb,15,10,27,21,77.8%,114,5.4,0,6,19,4.2,1.4,7.6,1
201,Andy Isabella,ARI,24,wr,13,2,35,21,60.0%,224,10.7,2,10,54,6.4,1.6,17.2,1
202,Joe Mixon,CIN,24,rb,6,6,26,21,80.8%,138,6.6,1,5,19,5.3,3.5,23.0,1
203,Cordarrelle Patterson*+,CHI,29,wr,16,3,25,21,84.0%,132,6.3,0,7,25,5.3,1.3,8.3,0
204,Chad Beebe,MIN,26,,14,0,30,20,66.7%,201,10.1,2,12,40,6.7,1.4,14.4,2
205,Quintez Cephus,DET,22,wr,13,2,35,20,57.1%,349,17.5,2,16,49,10.0,1.5,26.8,0
206,Devin Duvernay ,BAL,23,wr,16,3,26,20,76.9%,201,10.1,0,8,39,7.7,1.3,12.6,0
207,Kenny Golladay,DET,27,wr,5,5,32,20,62.5%,338,16.9,2,16,48,10.6,4.0,67.6,0
208,Deonte Harris,NOR,23,wr,9,2,25,20,80.0%,186,9.3,1,10,40,7.4,2.2,20.7,3
209,Tyron Johnson,LAC,24,,12,0,26,20,76.9%,398,19.9,3,15,55,15.3,1.7,33.2,0
210,Ray-Ray McCloud,PIT,24,wr,16,2,22,20,90.9%,77,3.9,0,3,13,3.5,1.3,4.8,2
211,Ian Thomas,CAR,24,te,16,8,31,20,64.5%,145,7.3,1,11,21,4.7,1.3,9.1,1
212,Chris Thompson,JAX,30,,8,0,23,20,87.0%,146,7.3,1,5,15,6.3,2.5,18.3,0
213,Olamide Zaccheaus,ATL,23,wr,11,2,32,20,62.5%,274,13.7,1,16,51,8.6,1.8,24.9,0
214,Miles Boykin,BAL,24,WR,16,13,33,19,57.6%,266,14.0,4,14,43,8.1,1.2,16.6,0
215,,,,,,,,,,,,,,,,,,
216,Tyler Conklin,MIN,25,te,16,2,26,19,73.1%,194,10.2,1,11,30,7.5,1.2,12.1,1
217,Ross Dwelley,SFO,25,te,16,9,24,19,79.2%,245,12.9,1,10,36,10.2,1.2,15.3,0
218,Derrick Henry *+,TEN,26,RB,16,16,31,19,61.3%,114,6.0,0,4,53,3.7,1.2,7.1,3
219,Justin Jackson ,LAC,24,rb,9,4,24,19,79.2%,173,9.1,0,7,34,7.2,2.1,19.2,0
220,Van Jefferson ,LAR,24,,16,0,31,19,61.3%,220,11.6,1,11,31,7.1,1.2,13.8,1
221,Kerryon Johnson,DET,23,rb,16,2,26,19,73.1%,187,9.8,1,11,20,7.2,1.2,11.7,1
222,Kyle Juszczyk*,SFO,29,FB,16,15,29,19,65.5%,202,10.6,4,10,41,7.0,1.2,12.6,1
223,Dion Lewis,NYG,30,,16,0,30,19,63.3%,127,6.7,1,8,17,4.2,1.2,7.9,3
224,David Njoku ,CLE,24,te,13,5,29,19,65.5%,213,11.2,2,13,28,7.3,1.5,16.4,0
225,Jalen Richard,LVR,27,,13,0,23,19,82.6%,138,7.3,0,5,19,6.0,1.5,10.6,1
226,J.K. Dobbins ,BAL,22,rb,15,1,24,18,75.0%,120,6.7,0,4,19,5.0,1.2,8.0,2
227,Marvin Hall,2TM,27,,12,6,32,18,56.3%,302,16.8,2,10,73,9.4,1.5,25.2,0
228,Dontrelle Inman,WAS,31,,10,2,28,18,64.3%,163,9.1,2,11,17,5.8,1.8,16.3,1
229,Collin Johnson,JAX,23,,14,0,31,18,58.1%,272,15.1,2,12,46,8.8,1.3,19.4,0
230,Kaden Smith,NYG,23,TE,15,12,21,18,85.7%,112,6.2,0,7,16,5.3,1.2,7.5,1
231,Darrel Williams,KAN,25,,16,0,26,18,69.2%,116,6.4,0,6,15,4.5,1.1,7.3,0
232,Preston Williams,MIA,23,wr,8,7,35,18,51.4%,288,16.0,4,14,47,8.2,2.3,36.0,0
233,Devontae Booker,LVR,28,rb,16,1,21,17,81.0%,84,4.9,0,2,17,4.0,1.1,5.3,1
234,DeeJay Dallas,SEA,22,rb,12,2,20,17,85.0%,111,6.5,1,5,13,5.6,1.4,9.3,0
235,Chad Hansen,HOU,25,wr,5,2,24,17,70.8%,236,13.9,1,11,38,9.8,3.4,47.2,0
236,Christian McCaffrey,CAR,24,rb,3,3,19,17,89.5%,149,8.8,1,8,24,7.8,5.7,49.7,0
237,Mohamed Sanu,2TM,31,,10,4,24,17,70.8%,187,11.0,1,13,21,7.8,1.7,18.7,0
238,Ito Smith,ATL,25,,14,0,26,17,65.4%,75,4.4,0,3,17,2.9,1.2,5.4,1
239,Jeff Smith,NYJ,23,wr,12,4,37,17,45.9%,167,9.8,0,9,21,4.5,1.4,13.9,0
240,Cedrick Wilson Jr.,DAL,25,,16,0,28,17,60.7%,189,11.1,2,10,42,6.8,1.1,11.8,0
241,Le'Veon Bell,2TM,28,,11,4,20,16,80.0%,138,8.6,0,7,30,6.9,1.5,12.5,1
242,Nick Chubb*,CLE,25,RB,12,12,18,16,88.9%,150,9.4,0,6,26,8.3,1.3,12.5,1
243,Frank Gore,NYJ,37,RB,15,14,19,16,84.2%,89,5.6,0,3,9,4.7,1.1,5.9,1
244,Darrell Henderson,LAR,23,RB,15,11,24,16,66.7%,159,9.9,1,8,28,6.6,1.1,10.6,0
245,Mack Hollins,MIA,27,wr,16,2,25,16,64.0%,176,11.0,1,7,34,7.0,1.0,11.0,1
246,,,,,,,,,,,,,,,,,,
247,Carlos Hyde,SEA,30,rb,10,1,20,16,80.0%,93,5.8,0,4,18,4.7,1.6,9.3,1
248,Ty Johnson,2TM,23,,13,1,21,16,76.2%,99,6.2,1,6,18,4.7,1.2,7.6,0
249,Raheem Mostert,SFO,28,rb,8,8,19,16,84.2%,156,9.8,1,5,76,8.2,2.0,19.5,1
250,KeeSean Johnson,ARI,24,wr,8,1,23,15,65.2%,173,11.5,0,7,45,7.5,1.9,21.6,0
251,LeSean McCoy,TAM,32,,10,0,19,15,78.9%,101,6.7,0,3,15,5.3,1.5,10.1,0
252,Vance McDonald,PIT,30,TE,14,12,20,15,75.0%,99,6.6,0,4,15,5.0,1.1,7.1,0
253,Adam Trautman ,NOR,23,te,15,6,16,15,93.8%,171,11.4,1,9,41,10.7,1.0,11.4,0
254,Nick Boyle,BAL,27,te,9,9,17,14,82.4%,113,8.1,2,8,21,6.6,1.6,12.6,0
255,Noah Brown,DAL,24,wr,16,1,24,14,58.3%,154,11.0,0,6,20,6.4,0.9,9.6,0
256,Pharaoh Brown,HOU,26,te,13,9,16,14,87.5%,163,11.6,2,9,29,10.2,1.1,12.5,0
257,Chris Hogan ,NYJ,33,,5,4,26,14,53.8%,118,8.4,0,6,27,4.5,2.8,23.6,0
258,DeSean Jackson,PHI,34,wr,5,5,26,14,53.8%,236,16.9,1,10,81,9.1,2.8,47.2,0
259,Jesse James,DET,26,te,16,7,22,14,63.6%,129,9.2,2,6,31,5.9,0.9,8.1,0
260,Marcus Johnson,IND,26,,11,3,28,14,50.0%,255,18.2,0,11,55,9.1,1.3,23.2,0
261,Olabisi Johnson,MIN,23,wr,16,3,19,14,73.7%,189,13.5,0,9,29,9.9,0.9,11.8,0
262,Zay Jones ,LVR,25,wr,16,2,20,14,70.0%,154,11.0,1,6,37,7.7,0.9,9.6,0
263,Zack Moss ,BUF,23,,13,0,18,14,77.8%,95,6.8,1,5,20,5.3,1.1,7.3,0
264,Donovan Peoples-Jones,CLE,21,wr,12,2,20,14,70.0%,304,21.7,2,10,75,15.2,1.2,25.3,0
265,Auden Tate,CIN,23,wr,9,2,22,14,63.6%,150,10.7,0,9,19,6.8,1.6,16.7,0
266,Nick Vannett,DEN,27,TE,15,11,21,14,66.7%,95,6.8,1,6,19,4.5,0.9,6.3,0
267,Jamal Agnew,DET,25,wr,14,2,20,13,65.0%,89,6.8,0,4,20,4.5,0.9,6.4,2
268,Christian Blake,ATL,24,,16,0,18,13,72.2%,141,10.8,0,6,25,7.8,0.8,8.8,0
269,Ryan Izzo,NWE,25,TE,12,12,20,13,65.0%,199,15.3,0,6,50,10.0,1.1,16.6,1
270,Alexander Mattison,MIN,22,rb,13,2,15,13,86.7%,125,9.6,1,5,28,8.3,1.0,9.6,0
271,Byron Pringle,KAN,27,wr,13,3,17,13,76.5%,160,12.3,1,9,37,9.4,1.0,12.3,0
272,Freddie Swain,SEA,22,wr,16,1,21,13,61.9%,159,12.2,2,6,23,7.6,0.8,9.9,0
273,Mike Thomas,CIN,26,,14,0,21,13,61.9%,132,10.2,1,7,29,6.3,0.9,9.4,1
274,Jeff Wilson,SFO,25,rb,12,3,28,13,46.4%,133,10.2,3,8,21,4.8,1.1,11.1,2
275,Jason Witten,LVR,38,te,16,7,17,13,76.5%,69,5.3,2,8,15,4.1,0.8,4.3,0
276,Cameron Batson,TEN,25,wr,12,1,13,12,92.3%,100,8.3,1,7,18,7.7,1.0,8.3,1
277,,,,,,,,,,,,,,,,,,
278,Alex Erickson ,CIN,28,wr,16,2,17,12,70.6%,139,11.6,0,5,42,8.2,0.8,8.7,2
279,Royce Freeman,DEN,24,,16,0,13,12,92.3%,81,6.8,0,4,28,6.2,0.8,5.1,0
280,Alec Ingold,LVR,24,fb,16,4,17,12,70.6%,110,9.2,1,9,23,6.5,0.8,6.9,0
281,Tyler Johnson,TAM,22,wr,14,3,17,12,70.6%,169,14.1,2,9,35,9.9,0.9,12.1,0
282,Tyler Kroft,BUF,28,te,10,4,16,12,75.0%,119,9.9,3,9,38,7.4,1.2,11.9,0
283,Jeremy McNichols ,TEN,25,,16,0,17,12,70.6%,55,4.6,0,0,9,3.2,0.8,3.4,0
284,Adrian Peterson,DET,35,rb,16,10,18,12,66.7%,101,8.4,0,4,23,5.6,0.8,6.3,0
285,Brandon Powell,ATL,25,wr,15,1,18,12,66.7%,69,5.8,2,5,13,3.8,0.8,4.6,2
286,Adam Shaheen,MIA,26,te,16,5,22,12,54.5%,150,12.5,3,9,43,6.8,0.8,9.4,0
287,Jace Sternberger,GNB,24,,12,0,15,12,80.0%,114,9.5,1,6,27,7.6,1.0,9.5,0
288,Jordan Wilkins,IND,26,,15,0,16,12,75.0%,105,8.8,0,3,24,6.6,0.8,7.0,0
289,Salvon Ahmed,MIA,22,rb,6,4,14,11,78.6%,61,5.5,0,2,13,4.4,1.8,10.2,0
290,Cam Akers ,LAR,21,rb,13,5,14,11,78.6%,123,11.2,1,4,38,8.8,0.8,9.5,1
291,Blake Bell,DAL,29,te,16,2,15,11,73.3%,110,10.0,0,7,24,7.3,0.7,6.9,0
292,C.J. Board,NYG,27,wr,14,4,16,11,68.8%,101,9.2,0,6,16,6.3,0.8,7.2,0
293,Bryan Edwards ,LVR,22,wr,12,3,15,11,73.3%,193,17.5,1,9,34,12.9,0.9,16.1,0
294,Tyler Ervin ,GNB,27,,8,0,15,11,73.3%,84,7.6,0,6,24,5.6,1.4,10.5,0
295,KhaDarel Hodge,CLE,25,,9,0,17,11,64.7%,180,16.4,0,11,42,10.6,1.2,20.0,0
